# Table S3. Information on cowpea accessions used for SNP discovery. The reference genome is underlined. 					
#Accession	Country of Origin	Type of material	Biotic stress resistance	Abiotic stress tolerance	Agronomic traits
24-125-B-1	Cameroon	Breeding	Fusarium		Sweet taste
524-B	USA	Breeding	Nematode, Fusarium		Black-eye type, large seed
B 301	Botswana	Landrace	Alectra, Striga		
Bambey 21	Senegal	Breeding 	Cowpea aphid-borne mosaic virus		White seed color
CB 27	USA	Breeding		Heat	Black-eye type
CB 3	USA	Breeding	Nematode, Fusarium		Black-eye type
CB46	USA	Breeding	Nematode, Fusarium		Black-eye type
Danila	Nigeria 	Landrace	Nematode, Fusarium, Foliar Thrips		Rough seed coat, white seed color
G32	China	Landrace			Asparragus bean, very long pods
Greenpack D.G.	USA	Breeding 	Blackeye cowpea mosaic virus		Green seed color
INIA-41	Mozambique	Landrace	Nematode, Fusarium		
Iron Clay	USA	Breeding	Macrophomina, Nematode, Fusarium		Cover crop, small seed
IT00K-1263	Nigeria	Breeding 	Striga		
IT82E-18	Nigeria	Breeding			High yield, light brown seed
IT84S-2049	Nigeria	Breeding	Aphid, bacterial blight and root-knot nematode 		Small seed
IT84S-2246	Nigeria	Breeding	Aphid, bacterial blight and root-knot nematode 		
IT89KD-288	Nigeria	Breeding			High yield, good grain quality, dual purpose, white seed with rough coat 
IT93K-503-1	Nigeria	Breeding	Macrophomina, Striga	Drought 	Stay-green
IT97K-499-35 	Nigeria	Breeding	Striga		High yield, black-eye seed
IT97K-556-6	Nigeria	Breeding	Aphid		
IT98K-1111-1	Nigeria	Breeding	Insect		
Melakh	Senegal	Breeding	Aphid, bacterial blight, cowpea aphid-borne mosaic virus		Brown-eye type
Mouride	Senegal	Breeding	Bacterial blight, cowpea aphid-borne mosaic virus, storage weevil, Striga		Cream beige-eye seed color
Moussa Local	Senegal	Breeding	Macrophomina		
Sanzi	Ghana	Landrace	Flower thrips		Sub-globose leaf shape
SuVita 2	Burkina Faso	Landrace	Macrophomina, Striga	Drought	High yield
Tvu-14676	Botswana	Breeding			
TVu-15426	Lesotho 	Landrace			Smooth seed coat, purple seed color
Tvu-7778	Ivory Coast 	Landrace			
Tvu-9522	Egypt 	Landrace			
UCR 707	Kenya 	Landrace			Smooth seed coat
UCR 779	Botswana	Landrace			
Vita 7	Nigeria	Breeding	Macrophomina		Smooth seed coat, tan seed color, hastate leaf shape
Yacine	Senegal	Breeding	Aphid, bacterial blight, cowpea aphid-borne mosaic virus		Early maturity, brown seed color
ZJ282	China	Breeding			Asparragous bean cultivar, early flowering, high yield
ZJ60	China	Breeding	Fusarium wilt		Asparragus bean cultivar
ZN016	China	Landrace	Powdery mildew		Asparragus bean, medium-long pods, late flowring
