#Linkage Group	Number	Genetic Map
GmSSR-Utah_A1	1	GmSSR-Utah
GmSSR-Utah_A2	2	GmSSR-Utah
GmSSR-Utah_B1	3	GmSSR-Utah
GmSSR-Utah_B2	4	GmSSR-Utah
GmSSR-Utah_C1	5	GmSSR-Utah
GmSSR-Utah_C2	6	GmSSR-Utah
GmSSR-Utah_D1a+Q	7	GmSSR-Utah
GmSSR-Utah_D1b+W	8	GmSSR-Utah
GmSSR-Utah_D2	9	GmSSR-Utah
GmSSR-Utah_E	10	GmSSR-Utah
GmSSR-Utah_F	11	GmSSR-Utah
GmSSR-Utah_G	12	GmSSR-Utah
GmSSR-Utah_H	13	GmSSR-Utah
GmSSR-Utah_I	14	GmSSR-Utah
GmSSR-Utah_J	15	GmSSR-Utah
GmSSR-Utah_K	16	GmSSR-Utah
GmSSR-Utah_L	17	GmSSR-Utah
GmSSR-Utah_M	18	GmSSR-Utah
GmSSR-Utah_N	19	GmSSR-Utah
GmSSR-Utah_O	20	GmSSR-Utah
